ID_1; SKU_1; ID_2; SKU_2; LevDist; PercentageOfMatch
365324.0; Грипаут №10 таб.; 326426.0; Піковіт №30 табл; 8; 0.5
365324.0; Грипаут №10 таб.; 326452.0; Беналгін №10 таб.; 8; 0.5
365324.0; Грипаут №10 таб.; 326466.0; Вітрум №100 таб.; 7; 0.5625
365324.0; Грипаут №10 таб.; 326476.0; Норколут №20 тб.; 7; 0.5625
365324.0; Грипаут №10 таб.; 326616.0; Персен №10 тб.; 8; 0.5
365324.0; Грипаут №10 таб.; 326620.0; Папазол №10 тб.; 7; 0.5625
365324.0; Грипаут №10 таб.; 326637.0; Аскорутин №10 таб.; 7; 0.5625
365324.0; Грипаут №10 таб.; 326775.0; Аспаркам №50 таб.; 8; 0.5
365324.0; Грипаут №10 таб.; 326893.0; Аскопар №10 таб.; 6; 0.625
365324.0; Грипаут №10 таб.; 326897.0; Копацил №6 таб.; 8; 0.5
365324.0; Грипаут №10 таб.; 327005.0; Раунатин №10 тб.; 8; 0.5
365324.0; Грипаут №10 таб.; 327302.0; Андипал В №10 таб.; 6; 0.625
564976.0; Шампунь Klorane з екстрактом хініном та вітаміном В п/випад волосся 200млАКЦІЯ80015F; 326471.0; Шампунь Klorane з екстрактом  хініном та вітаміном В п/випад волосся 200мл 80015; 7; 0.9166666666666666
564977.0; Шампунь Klorane з вівсяним молочком д/част застос 200млАКЦІЯ; 326246.0; Шампунь Klorane з вівсяним молочком д/част застос 200мл 80023; 6; 0.9
564977.0; Шампунь Klorane з вівсяним молочком д/част застос 200млАКЦІЯ; 326467.0; Шампунь Klorane з вівсяним молочком д/част застос 400мл 80061; 7; 0.8833333333333333
326246.0; Шампунь Klorane з вівсяним молочком д/част застос 200мл 80023; 326246.0; Шампунь Klorane з вівсяним молочком д/част застос 200мл 80023; 0; 1.0
326246.0; Шампунь Klorane з вівсяним молочком д/част застос 200мл 80023; 326467.0; Шампунь Klorane з вівсяним молочком д/част застос 400мл 80061; 3; 0.9508196721311475
326384.0; Шампунь Klorane з екстрактом ромашки д/світлого волосся 200мл (80026); 326384.0; Шампунь Klorane з екстрактом ромашки д/світлого волосся 200мл (80026); 0; 1.0
